,0
0,고등학교졸업
<<<<<<< HEAD
1,서울사립대(중경외시)
2,지방거점국립대(제주대학교)
3,지방거점국립대(충남대학교)
4,서울사립대(건국대학교)
5,서울사립대(서성한)
6,지방국립대(한경대학교)
7,지방국립대(한경대학교)
8,지방거점국립대(충남대학교)
9,지방사립대(신한대학교)
10,서울사립대(한국외국어대학교)
11,"교내 금융 동아리 3년, 학생회장단연합회 1년, 특성화고 권리 연합회 1년, 컴퓨터활용능력 2급, 전산회계1급, 전산세무2급, 전산회계운용사3급, 기업회계2급, 워드프로세서1급"
12,지방거점국립대(전북대학교)
13,지방국립대(순천대학교)
14,서울사립대(숭실대학교)
15,지방국립대(금오공과대학교)
16,해외대(미국)
17,서울사립대(아주대학교)
18,지방사립대(순천향대학교)
19,지방국립대(창원대학교)
20,서울공립대(서울시립대학교)
21,서울사립대(건국대학교)
22,서울사립대(한국외국어대학교)
23,지방사립대(동아대학교)
24,서울사립대(한양대학교)
25,지방사립대(동아대학교)
26,서울사립대(한국외국어대학교)
27,지방사립대(한동대학교)
28,지방사립대(대전대학교)
29,서울국립대(서울과학기술대학교)
30,지방거점국립대(전북대학교)
31,대학원
32,서울국립대(서울과학기술대학교)
33,지방사립대(순천향대학교)
34,가톨릭대 
35,지방사립대(한국항공대학교)
36,지방거점국립대(경북대학교)
37,지방국립대(한밭대학교)
38,서울사립대(건국대학교)
39,서울사립대(단국대학교)
40,"교내 금융 동아리 3년, 학생회장단연합회 1년, 특성화고 권리 연합회 1년, 컴퓨터활용능력 2급, 전산회계1급, 전산세무2급, 전산회계운용사3급, 기업회계2급, 워드프로세서1급"
41,서울사립대(숭실대학교)
42,서울사립대(한국외국어대학교)
43,지방사립대(한동대학교)
44,서울공립대(서울시립대학교)
45,서울사립대(건국대학교)
46,서울사립대(한양대학교)
47,서울국립대(서울과학기술대학교)
48,지방사립대(동아대학교)
49,지방사립대(동아대학교)
50,지방사립대(대전대학교)
51,지방거점국립대(전북대학교)
52,서울사립대(한국외국어대학교)
53,대학원
54,서울국립대(서울과학기술대학교)
55,지방사립대(순천향대학교)
56,가톨릭대 
57,지방사립대(한국항공대학교)
58,지방거점국립대(경북대학교)
59,지방국립대(한밭대학교)
60,서울사립대(단국대학교)
61,지방사립대(백석대학교)
62,지방사립대(순천향대학교)
63,지방거점국립대(경북대학교)
64,서울사립대(경희대학교)
65,지방사립대(계명대학교)
66,지방거점국립대(경북대학교)
67,지방사립대(영남대학교)
68,지방거점국립대(전북대학교)
69,지방거점국립대(경북대학교)
70,서울사립대(광운대학교)
71,지방국립대(한국해양대학교)
72,지방사립대(영남대학교)
73,서울사립대(한양대학교)
74,서울국립대(서울과학기술대학교)
75,지방거점국립대(강원대학교)
76,지방사립대(성결대학교)
77,서울사립대(단국대학교)
78,가톨릭대 
79,지방사립대(동아대학교)
80,서울사립대(아주대학교)
81,지방거점국립대(전북대학교)
82,서울사립대(경희대학교)
83,서울사립대(아주대학교)
84,지방사립대(동아대학교)
85,지방국립대(금오공과대학교)
86,지방거점국립대(강원대학교)
87,지방사립대(한림대학교)
88,서울사립대(한국외국어대학교)
89,지방사립대(백석대학교)
90,지방사립대(동아대학교)
91,서울사립대(숭실대학교)
92,지방국립대(부경대학교)
93,지방사립대(백석대학교)
94,지방거점국립대(경북대학교)
95,서울사립대(경희대학교)
96,지방거점국립대(전북대학교)
97,지방거점국립대(경북대학교)
98,지방국립대(한국해양대학교)
99,지방사립대(순천향대학교)
100,지방거점국립대(강원대학교)
101,서울사립대(단국대학교)
102,서울사립대(한양대학교)
103,지방사립대(동아대학교)
104,지방국립대(금오공과대학교)
105,지방거점국립대(강원대학교)
106,지방사립대(한림대학교)
107,서울사립대(한국외국어대학교)
108,지방사립대(백석대학교)
109,지방사립대(동아대학교)
110,서울사립대(숭실대학교)
111,지방국립대(부경대학교)
112,지방사립대(광주대학교)
113,서울사립대(아주대학교)
114,서울사립대(중앙대학교)
115,서울국립대(서울과학기술대학교)
116,지방국립대(부경대학교)
117,지방사립대(영남대학교)
118,지방사립대(영남대학교)
119,학점 3.57 
120,지방거점국립대(강원대학교)
121,서울사립대(단국대학교)
122,서울사립대(한양대학교)
123,지방사립대(동아대학교)
124,지방국립대(금오공과대학교)
125,지방거점국립대(강원대학교)
126,지방사립대(한림대학교)
127,서울사립대(한국외국어대학교)
128,지방사립대(백석대학교)
129,지방사립대(동아대학교)
130,서울사립대(숭실대학교)
131,지방국립대(부경대학교)
132,지방사립대(광주대학교)
133,서울사립대(아주대학교)
134,서울사립대(중앙대학교)
135,서울국립대(서울과학기술대학교)
136,지방국립대(부경대학교)
137,지방사립대(영남대학교)
138,지방사립대(영남대학교)
139,학점 3.57 
140,서울사립대(광운대학교)
141,가천대학교 
142,지방거점국립대(경북대학교)
143,지방사립대(조선대학교)
144,지방국립대
145,지방국립대(부경대학교)
146,서울사립대(경기대학교)
147,지방국립대(부경대학교)
148,지방거점국립대(부산대학교)
149,지방국립대(창원대학교)
150,서울사립대(중앙대학교)
151,서울국립대(서울과학기술대학교)
152,지방사립대(대전대학교)
153,서울사립대(아주대학교)
154,지방사립대(순천향대학교)
155,지방국립대
156,서울사립대(숭실대학교)
157,지방사립대(성결대학교)
158,서울사립대(중앙대학교)
159,서울사립대(숭실대학교)
160,서울사립대(중앙대학교)
161,서울국립대(서울과학기술대학교)
162,서울사립대(광운대학교)
163,지방국립대(부경대학교)
164,지방사립대(영남대학교)
165,지방사립대(영남대학교)
166,학점 3.57 
167,지방국립대(부경대학교)
168,서울사립대(경기대학교)
169,서울사립대(중앙대학교)
170,지방거점국립대(경북대학교)
171,지방사립대(조선대학교)
172,지방국립대(부경대학교)
173,지방거점국립대(부산대학교)
174,지방국립대
175,지방국립대(창원대학교)
176,가천대학교 
177,서울국립대(서울과학기술대학교)
178,지방사립대(대전대학교)
179,서울사립대(아주대학교)
180,지방사립대(순천향대학교)
181,지방국립대
182,서울사립대(숭실대학교)
183,지방사립대(성결대학교)
184,서울사립대(중앙대학교)
185,서울사립대(숭실대학교)
186,고등학교졸업
187,지방거점국립대학 
188,
189,지방거점국립대(경북대학교)
190,서울사립대(국민대학교)
191,서울사립대(광운대학교)
192,지방거점국립대(부산대학교)
193,지방국립대(한경대학교)
194,고등학교졸업
195,서울사립대(연세대학교)
196,
197,지방국립대(순천대학교)
198,지방거점국립대(충남대학교)
199,서울사립대(경희대학교)
200,지방국립대(한경대학교)
201,서울국립대(서울과학기술대학교)
202,지방사립대(인하대학교)
203,가톨릭대학교 
204,서울국립대(서울과학기술대학교)
205,지방국립대(부경대학교)
206,지방사립대(경기)
207,지방거점국립대(충남대학교)
208,서울사립대(아주대학교)
209,지방사립대(인하대학교)
210,서울사립대(경기대학교)
211,서울사립대
212,해외대
213,서울사립대(한양대학교)
214,지방거점국립대
215,지방국립대(부경대학교)
216,지방국립대(금오공과대학교)
217,지방거점국립대(부산대학교)
218,서울사립대(숭실대학교)
219,서울사립대
220,지방국립대(인천대학교)
221,지방거점국립대(전북대학교)
222,지방사립대(동아대학교)
223,지방국립대(공주대학교)
224,지방국립대(경남과학기술대학교)
225,서울사립대(서성한)
226,지방국립대(공주대학교)
227,지방사립대(영남대학교)
228,지방사립대(인하대학교)
229,지방사립대(인하대학교)
230,가톨릭대 
231,지방거점국립대
232,지방국립대(인천대학교)
233,지방사립대(영남대학교)
234,서울국립대(서울과학기술대학교)
235,지방거점국립대(전남대학교)
236,가톨릭대학교 
237,서울국립대(서울과학기술대학교)
238,서울사립대(경기대학교)
239,포항공과대학교 
240,지방국립대(인천대학교)
241,지방거점국립대(전북대학교)
242,지방사립대(동아대학교)
243,지방국립대(공주대학교)
244,지방국립대(경남과학기술대학교)
245,서울사립대(서성한)
246,지방국립대(공주대학교)
247,지방사립대(영남대학교)
248,지방사립대(인하대학교)
249,지방사립대(인하대학교)
250,가톨릭대 
251,지방거점국립대
252,지방국립대(인천대학교)
253,지방사립대(영남대학교)
254,서울국립대(서울과학기술대학교)
255,지방거점국립대(전남대학교)
256,가톨릭대학교 
257,서울국립대(서울과학기술대학교)
258,서울사립대(경기대학교)
259,포항공과대학교 
260,서울사립대(단국대학교)
261,서울사립대(숭실대학교)
262,지방거점국립대
